GroupId	Words
1	21,7,57,28,44,3,15,46,65,82,103,112,140,154,170,173,162,187,190,199,219,48,201,248,277,258,313,316,298,299,337,380,412,394,436,425,430,476,472,563,568,518
2	17,41,45,94,110,119,116,114,136,130,132,156,188,218,213,214,141,131,245,291,296,297,369,378,358,367,407,389,441,444,450,493,492,550,564,578
3	23,108,2,29,47,59,63,69,89,105,133,135,152,174,192,221,217,70,90,124,137,145,263,361,409,447,455,548,529,576,580
4	16,4,5,9,43,39,40,12,6,20,54,111,109,138,129,238,242,381,392,486,544,539
5	42,27,30,14,8,11,49,55,76,79,106,123,206,53,243,285,341,443,458,490,557,595
6	10,31,32,51,60,83,88,127,134,183,210,228,290,406,439,463,541,583
7	58,26,56,78,374,419
8	84,99,310,356
9	35,37,91,98
9	209,100,125
10	92,104,597
11	113,159
