GroupId	Words
1	32,10,1,70,71,76
2	29,40,129
3	16,50,38,8,12,136,55,114,125,95,79,147,72,123,149,156,39,67,77,74
4	11,22,27,154,101,164,60,91
5	24,28,92,130,139,141,142,128,160,165
6	42,9,14,2,63,127
7	21,19,20,36,17
8	3,4,5,52,41,46,44,13,6,133,157,33,62,82,112
9	7,37,49,69,121,152,166,150,120,145,58,100,86,53,104,94,155,68,75,109,118,115
10	102,162
11	137,103,98,97,129,108,78,132,87,126,89,88,61,18,148
12	167,135
13	51,113
14	143,107
15	31,134
16	169,64,161
17	48,80,140,23,25,122
